INFO:root:CPU: 0.0% | Memory: 73.8%
INFO:root:CPU: 2.5% | Memory: 73.8%
INFO:root:CPU: 7.8% | Memory: 77.9%
INFO:root:CPU: 1.1% | Memory: 77.3%
INFO:root:CPU: 0.8% | Memory: 77.3%
INFO:root:CPU: 0.9% | Memory: 76.0%
INFO:root:CPU: 0.8% | Memory: 76.1%
INFO:root:CPU: 1.0% | Memory: 75.5%
INFO:root:CPU: 1.6% | Memory: 75.6%
INFO:root:CPU: 0.9% | Memory: 75.4%
INFO:root:CPU: 0.9% | Memory: 75.4%
INFO:root:CPU: 0.3% | Memory: 75.4%
INFO:root:CPU: 0.6% | Memory: 75.3%
INFO:root:CPU: 0.9% | Memory: 75.3%
INFO:root:CPU: 1.1% | Memory: 75.4%
INFO:root:CPU: 0.7% | Memory: 75.2%
INFO:root:CPU: 0.8% | Memory: 75.2%
INFO:root:CPU: 0.8% | Memory: 75.2%
INFO:root:CPU: 1.0% | Memory: 75.2%
INFO:root:CPU: 0.9% | Memory: 75.2%
INFO:root:CPU: 0.9% | Memory: 75.2%
INFO:root:CPU: 1.0% | Memory: 75.2%
INFO:root:CPU: 0.8% | Memory: 75.1%
INFO:root:CPU: 1.2% | Memory: 74.2%
INFO:root:CPU: 0.8% | Memory: 74.2%
INFO:root:CPU: 0.9% | Memory: 74.1%
INFO:root:CPU: 1.0% | Memory: 74.1%
INFO:root:CPU: 0.9% | Memory: 74.1%
INFO:root:CPU: 0.9% | Memory: 74.1%
INFO:root:CPU: 1.1% | Memory: 73.5%
INFO:root:CPU: 0.9% | Memory: 73.5%
INFO:root:CPU: 0.8% | Memory: 73.5%
INFO:root:CPU: 1.7% | Memory: 74.3%
INFO:root:CPU: 1.2% | Memory: 74.1%
INFO:root:CPU: 0.7% | Memory: 74.1%
INFO:root:CPU: 11.2% | Memory: 83.3%
INFO:root:CPU: 23.8% | Memory: 82.4%
INFO:root:CPU: 14.3% | Memory: 85.2%
INFO:root:CPU: 11.4% | Memory: 85.6%
INFO:root:CPU: 9.4% | Memory: 86.9%
INFO:root:CPU: 5.1% | Memory: 87.1%
INFO:root:CPU: 10.9% | Memory: 87.5%
INFO:root:CPU: 13.0% | Memory: 86.0%
INFO:root:CPU: 9.2% | Memory: 85.7%
INFO:root:CPU: 6.8% | Memory: 85.4%
INFO:root:CPU: 2.5% | Memory: 85.4%
INFO:root:CPU: 2.7% | Memory: 85.2%
INFO:root:CPU: 1.8% | Memory: 85.2%
INFO:root:CPU: 0.8% | Memory: 85.3%
INFO:root:CPU: 1.7% | Memory: 85.3%
INFO:root:CPU: 2.6% | Memory: 85.0%
INFO:root:CPU: 1.0% | Memory: 84.9%
INFO:root:CPU: 1.1% | Memory: 84.9%
INFO:root:CPU: 0.8% | Memory: 84.8%
INFO:root:CPU: 0.8% | Memory: 84.8%
INFO:root:CPU: 0.8% | Memory: 84.7%
INFO:root:CPU: 1.0% | Memory: 84.7%
INFO:root:CPU: 1.1% | Memory: 84.8%
INFO:root:CPU: 0.6% | Memory: 84.7%
INFO:root:CPU: 2.0% | Memory: 84.7%
INFO:root:CPU: 0.5% | Memory: 84.7%
INFO:root:CPU: 4.9% | Memory: 84.9%
INFO:root:CPU: 6.4% | Memory: 84.9%
INFO:root:CPU: 1.1% | Memory: 84.8%
INFO:root:CPU: 4.4% | Memory: 84.6%
INFO:root:CPU: 11.1% | Memory: 84.4%
INFO:root:CPU: 22.3% | Memory: 84.1%
INFO:root:CPU: 2.8% | Memory: 84.2%
INFO:root:CPU: 3.3% | Memory: 84.4%
INFO:root:CPU: 6.1% | Memory: 84.3%
INFO:root:CPU: 5.9% | Memory: 84.9%
INFO:root:CPU: 6.7% | Memory: 86.4%
INFO:root:CPU: 5.7% | Memory: 86.8%
INFO:root:CPU: 10.0% | Memory: 86.6%
INFO:root:CPU: 13.7% | Memory: 86.6%
INFO:root:CPU: 11.7% | Memory: 86.4%
INFO:root:CPU: 6.3% | Memory: 86.3%
INFO:root:CPU: 13.6% | Memory: 86.4%
INFO:root:CPU: 15.6% | Memory: 86.2%
INFO:root:CPU: 12.0% | Memory: 86.4%
INFO:root:CPU: 0.7% | Memory: 86.5%
INFO:root:CPU: 1.0% | Memory: 86.6%
INFO:root:CPU: 1.0% | Memory: 86.7%
INFO:root:CPU: 0.8% | Memory: 86.9%
INFO:root:CPU: 0.8% | Memory: 87.0%
INFO:root:CPU: 9.0% | Memory: 87.0%
INFO:root:CPU: 14.8% | Memory: 86.9%
INFO:root:CPU: 14.0% | Memory: 86.9%
INFO:root:CPU: 6.4% | Memory: 86.9%
INFO:root:CPU: 0.7% | Memory: 87.0%
INFO:root:CPU: 0.9% | Memory: 86.7%
INFO:root:CPU: 0.9% | Memory: 86.8%
INFO:root:CPU: 1.5% | Memory: 86.9%
INFO:root:CPU: 6.0% | Memory: 86.9%
INFO:root:CPU: 13.1% | Memory: 87.3%
INFO:root:CPU: 17.1% | Memory: 87.3%
INFO:root:CPU: 10.4% | Memory: 87.3%
INFO:root:CPU: 1.3% | Memory: 87.4%
INFO:root:CPU: 1.3% | Memory: 87.4%
INFO:root:CPU: 1.6% | Memory: 87.4%
INFO:root:CPU: 3.5% | Memory: 87.3%
INFO:root:CPU: 13.9% | Memory: 87.2%
INFO:root:CPU: 17.8% | Memory: 87.2%
INFO:root:CPU: 34.0% | Memory: 87.5%
INFO:root:CPU: 7.8% | Memory: 87.4%
INFO:root:CPU: 0.5% | Memory: 87.3%
INFO:root:CPU: 0.6% | Memory: 87.2%
INFO:root:CPU: 9.0% | Memory: 87.2%
INFO:root:CPU: 19.6% | Memory: 87.0%
INFO:root:CPU: 8.7% | Memory: 86.9%
INFO:root:CPU: 13.7% | Memory: 86.9%
INFO:root:CPU: 0.6% | Memory: 86.9%
INFO:root:CPU: 0.4% | Memory: 86.2%
INFO:root:CPU: 0.1% | Memory: 86.2%
INFO:root:CPU: 0.5% | Memory: 82.9%
INFO:root:CPU: 9.3% | Memory: 82.7%
INFO:root:CPU: 12.2% | Memory: 82.6%
INFO:root:CPU: 12.3% | Memory: 82.6%
INFO:root:CPU: 2.4% | Memory: 82.5%
INFO:root:CPU: 0.1% | Memory: 82.6%
INFO:root:CPU: 2.9% | Memory: 82.4%
INFO:root:CPU: 12.3% | Memory: 82.2%
INFO:root:CPU: 12.4% | Memory: 82.2%
INFO:root:CPU: 9.6% | Memory: 82.2%
INFO:root:CPU: 0.0% | Memory: 82.1%
